"","st","countyid","county_name","fcc_broadband","usage"
"1772","NH","3015","Rockingham County","0.99","0.844"
"1773","NH","3017","Strafford County","0.984","0.726"
"1774","NH","3019","Sullivan County","0.8682","0.629"
"1775","NJ","4001","Atlantic County","0.979","0.639"
"1776","NJ","4003","Bergen County","0.9961","0.833"
"1777","NJ","4005","Burlington County","0.9849","0.778"
"1778","NJ","4007","Camden County","0.9881","0.776"
"1779","NJ","4009","Cape May County","0.9861","0.749"
"1780","NJ","4011","Cumberland County","0.9687","0.55"
"1781","NJ","4013","Essex County","0.9864","0.731"
"1782","NJ","4015","Gloucester County","0.9902","0.738"
"1783","NJ","4017","Hudson County","0.9873","0.684"
"1784","NJ","4019","Hunterdon County","0.9901","0.693"
"1785","NJ","4021","Mercer County","0.977","0.816"
"1786","NJ","4023","Middlesex County","0.967","0.832"
"1787","NJ","4025","Monmouth County","0.9904","0.847"
"1788","NJ","4027","Morris County","0.9689","0.864"
"1789","NJ","4029","Ocean County","0.9862","0.736"
"1790","NJ","4031","Passaic County","0.9935","0.804"
"1791","NJ","4033","Salem County","0.9745","0.534"
"1792","NJ","4035","Somerset County","0.9927","0.831"
"1793","NJ","4037","Sussex County","0.9966","0.58"
"1794","NJ","4039","Union County","0.9931","0.784"
"1795","NJ","4041","Warren County","0.9893","0.614"
"1796","NM","5001","Bernalillo County","0.99","0.615"
"1797","NM","5003","Catron County","0.0831","0.053"
"1798","NM","5005","Chaves County","0.9159","0.337"
"1799","NM","5006","Cibola County","0.6765","0.232"
"1800","NM","5007","Colfax County","0.2637","0.111"
"1801","NM","5009","Curry County","0.9182","0.576"
"1802","NM","5011","De Baca County","0.8124","0.455"
"1803","NM","5013","Dona Ana County","0.8459","0.335"
"1804","NM","5015","Eddy County","0.8468","0.434"
"1805","NM","5017","Grant County","0.8555","0.273"
"1806","NM","5019","Guadalupe County","0.6833","0.463"
"1807","NM","5021","Harding County","0.6864","0.477"
"1808","NM","5023","Hidalgo County","0.0715","0.035"
"1809","NM","5025","Lea County","0.932","0.536"
"1810","NM","5027","Lincoln County","0.8645","0.454"
"1811","NM","5028","Los Alamos County","0.9943","0.665"
"1812","NM","5029","Luna County","0.5815","0.098"
"1813","NM","5031","McKinley County","0.5141","0.135"
"1814","NM","5033","Mora County","0.6355","0.164"
"1815","NM","5035","Otero County","0.7886","0.436"
"1816","NM","5037","Quay County","0.6226","0.385"
"1817","NM","5039","Rio Arriba County","0.8619","0.16"
"1818","NM","5041","Roosevelt County","0.8104","0.333"
"1819","NM","5043","Sandoval County","0.9168","0.464"
"1820","NM","5045","San Juan County","0.7837","0.482"
"1821","NM","5047","San Miguel County","0.4943","0.101"
"1822","NM","5049","Santa Fe County","0.9806","0.375"
"1823","NM","5051","Sierra County","0.8211","0.248"
"1824","NM","5053","Socorro County","0.0453","0.211"
"1825","NM","5055","Taos County","0.7825","0.384"
"1826","NM","5057","Torrance County","0.4439","0.074"
"1827","NM","5059","Union County","0.7637","0.291"
"1828","NM","5061","Valencia County","0.8646","0.305"
"1829","NY","6001","Albany County","0.9975","0.696"
"1830","NY","6003","Allegany County","0.7666","0.305"
"1831","NY","6005","Bronx County","0.9817","0.486"
"1832","NY","6007","Broome County","0.9913","0.621"
"1833","NY","6009","Cattaraugus County","0.8212","0.32"
"1834","NY","6011","Cayuga County","0.9692","0.675"
"1835","NY","6013","Chautauqua County","0.9784","0.575"
"1836","NY","6015","Chemung County","0.9804","0.649"
"1837","NY","6017","Chenango County","0.9575","0.345"
"1838","NY","6019","Clinton County","0.9351","0.595"
"1839","NY","6021","Columbia County","0.992","0.495"
"1840","NY","6023","Cortland County","0.9575","0.496"
"1841","NY","6025","Delaware County","0.9766","0.462"
"1842","NY","6027","Dutchess County","0.9783","0.827"
"1843","NY","6029","Erie County","0.9984","0.656"
"1844","NY","6031","Essex County","0.9391","0.398"
"1845","NY","6033","Franklin County","0.9536","0.491"
"1846","NY","6035","Fulton County","0.9665","0.624"
"1847","NY","6037","Genesee County","0.9588","0.531"
"1848","NY","6039","Greene County","0.9828","0.687"
"1849","NY","6041","Hamilton County","0.853","0.637"
"1850","NY","6043","Herkimer County","0.9365","0.44"
"1851","NY","6045","Jefferson County","0.9848","0.62"
"1852","NY","6047","Kings County","0.9978","0.568"
"1853","NY","6049","Lewis County","0.8551","0.186"
"1854","NY","6051","Livingston County","0.9072","0.439"
"1855","NY","6053","Madison County","0.9418","0.45"
"1856","NY","6055","Monroe County","0.9999","0.59"
"1857","NY","6057","Montgomery County","0.9793","0.608"
"1858","NY","6059","Nassau County","0.9926","0.874"
"1859","NY","6061","New York County","1","0.55"
"1860","NY","6063","Niagara County","0.9933","0.642"
